userId,numWatched
39acf63e-c53c-43b9-a250-7a391070861a,72
3a4ff1db-8a58-4a3b-872d-8bf143067225,71
ffaed591-9da5-4094-9e93-040f4300cf29,69
bd474dc1-7576-41ee-b18a-b2626b750a05,68
2d169120-94c0-4922-8842-e70abe8a0f0f,68
e640c31d-e996-4a18-9c0d-0cf9cf34f213,67
87982f3b-c465-47a6-8c8e-4a90970fa414,67
440b0165-274d-4ff4-8eba-e13b132a060c,67
e5d8698c-31c1-463a-8d52-8e605366c9ca,67
8ebe44e1-26d2-4018-9fa3-2efaa4356460,66
f7a2adb8-44d7-4408-a2a9-3a593fc6d626,66
4a8ee874-637b-40d4-a0f7-cbdf67af8687,66
8f11d2ed-f3c3-4cd7-82bc-a010bd5c5dbc,66
b8b8fad4-6967-49f2-b9be-6f1d8841d652,65
852d7a07-e8b2-4ce5-bf4e-8e31a3f7cd67,65
b33086ec-2aa1-4b83-bf40-b9c6a5f94001,65
66a5a0f7-29cc-4879-9e09-b9b5c4ab6616,65
0908d368-2378-4151-b75b-57c2b24527d0,65
f589baa4-583f-46fb-ae9f-4c3f031ce544,65
542b473f-f1cb-4c7f-b838-efc46ec00c7e,65
8bee6ade-1d9f-453e-b1ec-9a2c2bd5a973,65
8b59496f-6dd4-4cb1-a326-915c374a71b9,65
acd4dd71-be26-47a4-a321-c5d6edd7c94c,64
526b113d-eb69-4495-af20-c767deaf601d,64
0aa48365-e1d6-4dbf-8c92-87fe3f3be211,64
3729cedd-af2e-44e2-bc8d-5e1fa3198d38,64
37cf10bd-4d88-4773-84f8-f06eb83675de,64
7d95181f-3972-46fc-961a-6369c17dcf7d,64
a2e02c31-3078-4f51-9ef6-0ebd3909572d,64
9bf611fa-73fb-4f5c-ab6e-9854d1c08f4d,64
7884bd3e-d48f-4afd-87dd-2a7552c04480,64
779ea652-ed45-40c1-870c-2a5b0e64b8e5,64
56ed0585-d39d-41e3-bce2-c41db07867eb,63
ab6fe2df-5182-46f3-82cf-80c5833f2366,63
7bdce3f0-93d6-4785-b25c-a10a4a784fef,63
ce871e5a-123f-4070-9cc6-abdb9a3f4602,63
0e3fdbba-8b38-4d16-aa26-ee92b336bdce,63
e5564151-6819-4560-b743-0fe319ab1b56,63
8d23c80b-8af8-4928-b65e-29e491309ac9,63
f4536e6a-6742-4de6-bb70-c32aef994346,63
366ac39d-58ac-4349-9e42-4e53b7647d34,63
