id,attribute_id,music_id,animation_id,duration,creator,created_at,num_shares,game_id,is_ar,user_created_at,class,user_latitude,user_longitude,user_city,user_state,user_country,numWatched
6e884071-8c0e-4782-aa40-e0fd78243360,4712e9e6-bef1-4646-b21e-ca5336901bf9,4ee0de5b-e27f-4d73-a3c6-52cf26e36c54,17dab81c-6180-4a4b-b539-91978a726cfd,5.34,73ec1ac2-d148-45ac-94a8-9bdff51730d7,2021-08-04 10:42:39,12,8bd4c7be-fe87-45ad-990d-d131cd3d9c77,true,2021-07-01 18:27:53,Super Creator,47.30997,8.52462,"",Zurich,Switzerland,13
ac90ff16-24b4-46bc-ae72-2da847f9e6c9,4f91d2b6-bf42-4d3f-a8e8-acc3b07f647e,4ee0de5b-e27f-4d73-a3c6-52cf26e36c54,6d7a0545-0bca-4bf4-a306-931e57d8ffe2,3.88,0230f9af-e89f-4886-8322-52a38eaf991c,2021-11-27 10:06:43,3,6ca0f645-a16b-42b0-9dc2-2ae952c83591,true,2021-06-04 20:14:39,Creator,25.95533,68.88871,"",Sindh,Pakistan,12
fb5eaf0d-e72c-4523-b5c5-4d9c323cef5f,80f5b187-f6e6-40f2-9b6e-fe62b67049a8,d53234f4-1efb-4299-97c1-11658118cba5,716c02df-bd3a-41c9-b2be-86fb74ff3255,5.15,fbf93fbf-a935-436f-8516-8acb863e779f,2021-02-26 04:18:53,4,6ca0f645-a16b-42b0-9dc2-2ae952c83591,true,2021-02-04 04:14:46,Super Gamer,5.84752,-5.682,"",Gôh-Djiboua,Côte d'Ivoire,5
bbf89dcb-7fbd-439d-9a7d-36ef7a1c2aa3,02b2b662-1b39-4d91-9417-dddc9451d8e1,19e4db13-d854-4913-a8ca-3612ee1a6071,b7bd5204-2976-4eb0-ab71-508a848bc325,6.5,f7a2adb8-44d7-4408-a2a9-3a593fc6d626,2021-11-27 02:08:02,9,8bd4c7be-fe87-45ad-990d-d131cd3d9c77,false,2021-11-20 16:11:07,Creator,32.9156,-117.14392,San Diego,California,United States,8
4c613ec6-fa6f-47e8-b4ab-658e2f6a644d,06c496ee-e884-42f9-ba39-010a66ed5296,b5b679a5-e769-4d95-82a6-f75e439b1ef9,17dab81c-6180-4a4b-b539-91978a726cfd,4.38,d9f9538f-1b7e-4f35-805d-924b309d75d8,2021-11-17 11:06:32,14,2609b6b5-3a08-451e-bce5-75fe506559d2,false,2021-09-18 15:58:48,Creator,42.22718,14.39024,Lanciano,Abruzzo,Italy,15
dd231f70-0e44-431e-af14-833abd41ae72,7ef48c9e-776d-4d24-8c2b-e3675b295767,19e4db13-d854-4913-a8ca-3612ee1a6071,435320a3-8d3d-4a9d-b76b-2f2e268f7619,6.38,12daa534-6cf9-4e19-bb2d-e29bdf2a3780,2021-12-05 03:53:43,0,4d54f6ab-cd8f-43a5-9be0-c497c2c32d24,true,2021-09-30 18:38:40,Gamer,-34.64167,-60.47389,"",Buenos Aires,Argentina,11
b78abece-818a-4217-89e9-c1f4ffdcf127,25e7fab9-abfb-4a74-a8cb-c3adbc6e3531,c3721b09-6896-465a-8e13-4d73efd06874,b7bd5204-2976-4eb0-ab71-508a848bc325,6.25,4ef9ea6b-e0af-4c5d-9a38-30151e73d5d0,2021-10-23 12:57:43,16,4d54f6ab-cd8f-43a5-9be0-c497c2c32d24,false,2021-09-20 17:04:39,Creator,35.05266,-78.87836,Fayetteville,North Carolina,United States,6
3a398fd3-7726-40ed-a301-5e0a375b8f1d,4712e9e6-bef1-4646-b21e-ca5336901bf9,e2bf5d12-edc2-47cb-b23f-1f4f7c1a2292,ace4c5e2-ef86-429a-aad3-23bef7a1c9f1,3.62,1f52599d-401d-45a8-b4da-7424e6a74312,2021-12-03 07:47:23,7,66653b7c-b600-49b3-a58c-d1862e91d426,false,2021-11-26 23:42:10,Gamer,25.92127,86.79271,"",Bihar,India,8
179733b6-e54b-458e-bb9e-2b7915c7aaa4,e339ba35-ffef-403b-a17c-dd218fdbb915,e2bf5d12-edc2-47cb-b23f-1f4f7c1a2292,542d7532-e88a-48ca-826f-c11f0f615bc4,4.45,a3d2cffc-8286-47ac-bd57-6d291b60248f,2021-04-27 02:02:41,15,66653b7c-b600-49b3-a58c-d1862e91d426,true,2021-01-11 02:39:11,Super Gamer,48.35149,8.96317,"",Baden-Württemberg,Germany,9
6d90545d-7f21-41bd-b57e-aa6c75c41f2f,02b2b662-1b39-4d91-9417-dddc9451d8e1,d53234f4-1efb-4299-97c1-11658118cba5,6d7a0545-0bca-4bf4-a306-931e57d8ffe2,5.71,66a5a0f7-29cc-4879-9e09-b9b5c4ab6616,2021-10-19 09:41:19,15,8bd4c7be-fe87-45ad-990d-d131cd3d9c77,false,2021-02-13 10:24:06,Creator,37.05944,37.3825,Gaziantep,"",Turkey,11
395d0165-64d3-4846-b343-424b0efe6564,7ef48c9e-776d-4d24-8c2b-e3675b295767,3de11516-8627-47c3-98ab-265b429cac91,ace4c5e2-ef86-429a-aad3-23bef7a1c9f1,4.08,9b473171-e8c2-48ab-b7a7-6b451d60ee35,2021-11-14 01:38:57,9,8bd4c7be-fe87-45ad-990d-d131cd3d9c77,true,2021-03-15 04:49:26,Creator,-6.25,38.66667,"",Pwani,Tanzania,6
0eac2f12-2f7a-4514-83f3-6ac735ac4083,02b2b662-1b39-4d91-9417-dddc9451d8e1,da2fc9b0-32d5-4a1b-8b40-2706eb133bf0,d167d0af-a662-48ad-bb39-5aa306fc8141,5.26,c8e737ea-30bc-4855-bfd6-7052107d4bef,2021-11-20 06:35:58,12,2609b6b5-3a08-451e-bce5-75fe506559d2,false,2021-09-20 20:11:38,Creator,27.76056,-15.58602,"","",Spain,7
8ca7c0ae-f7f4-4624-9e70-8217c3772559,3390e253-7815-4a3c-8169-fd2ab532e166,4ee0de5b-e27f-4d73-a3c6-52cf26e36c54,b5349df0-23dd-4973-b47d-ae5df5a4e247,4.38,fea5608b-c394-4108-86ea-2d022d65320a,2021-08-02 03:06:22,5,2609b6b5-3a08-451e-bce5-75fe506559d2,false,2021-05-12 17:24:46,Viewer,45.43341,-73.86586,"",Quebec,Canada,12
a2c916e5-34b6-4484-baba-8fda0cf3056b,c3328117-4129-4d8b-8250-9479e9c6a389,19e4db13-d854-4913-a8ca-3612ee1a6071,6d7a0545-0bca-4bf4-a306-931e57d8ffe2,3.97,4bcc7557-3760-49e3-895a-f122d9d112f1,2021-10-22 09:34:22,9,66653b7c-b600-49b3-a58c-d1862e91d426,true,2021-08-05 21:42:46,Viewer,35.06544,1.04945,"",Tiaret,Algeria,7
592514ae-5ce4-4fec-82a0-ec7592265415,e339ba35-ffef-403b-a17c-dd218fdbb915,d53234f4-1efb-4299-97c1-11658118cba5,08dda558-a151-45a2-8e43-1ba6f2891800,2.48,8de4afe5-59b3-4f84-9282-8a1c4ff4f979,2021-08-06 07:38:11,9,66653b7c-b600-49b3-a58c-d1862e91d426,true,2021-07-22 21:55:22,Gamer,10.15031,-73.9614,"",Cesar,Colombia,9
22d670a5-c0bb-4c3b-a67c-a6a21a357539,30fa7949-1cb6-44b1-9c7b-42c7421fc504,19e4db13-d854-4913-a8ca-3612ee1a6071,ace4c5e2-ef86-429a-aad3-23bef7a1c9f1,4.86,8ecacdb1-51cc-41d9-9751-89fab61265cb,2021-10-19 17:19:46,2,4d54f6ab-cd8f-43a5-9be0-c497c2c32d24,false,2021-08-10 18:25:36,Super Gamer,25.92127,86.79271,"",Bihar,India,9
c87bfc49-118c-4acc-ae9a-9054cffbd0a9,4712e9e6-bef1-4646-b21e-ca5336901bf9,1f80192e-3bff-41b8-b272-7062b9d7b6de,6d7a0545-0bca-4bf4-a306-931e57d8ffe2,5.13,2745c804-4882-4369-a533-f285f1a0719f,2021-06-30 14:40:46,10,4d54f6ab-cd8f-43a5-9be0-c497c2c32d24,false,2021-01-08 01:14:32,Gamer,38.68712,-4.10734,"",Castile-La Mancha,Spain,12
2aa840b1-6b0a-416c-97b2-c49d745af621,25e7fab9-abfb-4a74-a8cb-c3adbc6e3531,19e4db13-d854-4913-a8ca-3612ee1a6071,d167d0af-a662-48ad-bb39-5aa306fc8141,4.47,5d667392-2fb3-46d4-8048-ffdc285e44b2,2021-10-17 08:01:08,7,66653b7c-b600-49b3-a58c-d1862e91d426,false,2021-05-01 23:13:03,Super Creator,31.82539,72.54064,"",Punjab,Pakistan,18
25304991-2e9f-4e07-a947-698ea1a8df18,25e7fab9-abfb-4a74-a8cb-c3adbc6e3531,da2fc9b0-32d5-4a1b-8b40-2706eb133bf0,ff1a548b-e307-474c-a405-6370ca1a0639,4.53,8f92db2d-b971-4daa-b349-1dd1e691708c,2021-06-16 05:42:48,11,2609b6b5-3a08-451e-bce5-75fe506559d2,true,2021-02-13 23:35:28,Super Gamer,38.13708,41.00817,"","",Turkey,12
a6b99864-6237-441e-b322-3e0d41c520a1,c3328117-4129-4d8b-8250-9479e9c6a389,da2fc9b0-32d5-4a1b-8b40-2706eb133bf0,435320a3-8d3d-4a9d-b76b-2f2e268f7619,3.79,f589baa4-583f-46fb-ae9f-4c3f031ce544,2021-10-04 03:15:48,19,6ca0f645-a16b-42b0-9dc2-2ae952c83591,false,2021-09-23 23:49:05,Viewer,20.88197,85.83334,"",Odisha,India,13
cac284d5-462c-4a44-b412-9267edc277ec,4f91d2b6-bf42-4d3f-a8e8-acc3b07f647e,b5b679a5-e769-4d95-82a6-f75e439b1ef9,ff1a548b-e307-474c-a405-6370ca1a0639,4.78,225baf40-d168-457e-a45d-3a05edce50ac,2021-07-01 12:20:17,16,2609b6b5-3a08-451e-bce5-75fe506559d2,true,2021-01-17 20:15:24,Gamer,-7.54972,110.71639,"",Central Java,Indonesia,9
fdce1c23-1ff8-475f-b431-c1c561b58a14,7ef48c9e-776d-4d24-8c2b-e3675b295767,c3721b09-6896-465a-8e13-4d73efd06874,d167d0af-a662-48ad-bb39-5aa306fc8141,4.95,8dfe678f-c1c5-4b12-b934-8560dec64182,2021-11-28 14:14:31,12,8bd4c7be-fe87-45ad-990d-d131cd3d9c77,false,2021-11-05 20:29:07,Super Creator,34.65918,109.22921,"",Shaanxi,China,12
ecb098ba-3050-4a87-991b-c727a32257c1,80f5b187-f6e6-40f2-9b6e-fe62b67049a8,1f80192e-3bff-41b8-b272-7062b9d7b6de,ab5dc9f1-deb4-44d4-88ff-62e473a060f4,2.75,ab53d9c0-b7b2-4049-baaf-2a1c2bc15834,2021-11-29 23:01:40,0,66653b7c-b600-49b3-a58c-d1862e91d426,false,2021-10-23 18:55:27,Viewer,34.06635,-84.67837,"",Georgia,United States,13
84d104df-635b-4b53-ba3f-5ccaac7d596d,7ef48c9e-776d-4d24-8c2b-e3675b295767,1f80192e-3bff-41b8-b272-7062b9d7b6de,716c02df-bd3a-41c9-b2be-86fb74ff3255,5.35,1b9d47d6-190e-4dae-8a69-2476aab01866,2021-08-10 17:00:18,9,6ca0f645-a16b-42b0-9dc2-2ae952c83591,true,2021-03-29 00:51:38,Gamer,17.30858,97.01124,"",Mon,Myanmar,15
